year,Apples,Beef ,Citrus,Cotton,Dairy ,Grapes,Hay,Nuts,Other non-cereal crops,Pears,Plantation fruit,Rice,Sheep ,Stone fruit,Sugar,Summer cereals,Summer legumes,Summer oilseeds,Tropical stone fruit,Vegetables,Winter cereals,Winter legumes,Winter oilseeds
2010,0.5361563305290191,17.622998676357366,0.8251684601134442,2.423492285672003,4.1857823860851475,1.2411766890592,1.6937272581074536,0.6607483908857539,7.966712313051148,0.15570460642989026,0.650298770442018,0.24150661713815916,2.9457151761308373,0.6405785434811855,1.5218478543029559,0.49420289779229826,0.1320923716405869,0.02626811117533915,0.19203853183956143,4.24577744631327,9.640339572423109,1.420035387677063,1.3142778403999393
2011,0.41338280715449277,17.370678933406218,0.4285301052802822,2.1792152838818293,4.103486509664384,1.424015786342218,1.6310780362871031,0.4687032378210862,7.203832290899473,0.09378919786907429,0.24636140105975807,0.2431691945735913,3.0091832460984387,0.5098501130263553,1.5780004960989829,0.4922737249809679,0.1018627575090015,0.0272668992809968,0.12025308867059373,2.5848829207402653,9.733011757716023,1.372964983582387,1.3424166713403956
2012,0.41501927862766425,17.23196414750119,0.4258781162936245,2.17947386360771,4.097424750541108,1.4274553344991998,1.6392171131630133,0.47729095017471324,7.173224097078865,0.09988270921715943,0.2521028903348309,0.24437444644043207,3.0404912850485615,0.5149923516611008,1.59333740208416,0.49673426211652905,0.10463394220468683,0.02785003619454607,0.12196209849808448,2.593897326027497,9.961488692779058,1.3944957151985635,1.3693202589072306
2013,0.41684344703167886,17.096381161204224,0.4271354942332701,2.1797291806179766,4.091467401498221,1.430492947923135,1.6473554762649085,0.4857860042516727,7.135507705372092,0.10018603760135986,0.25757871948538097,0.24557976227430492,3.0722736228662875,0.5204115814050154,1.6042784851932768,0.5014406257612093,0.1061809557059697,0.02843317355353903,0.12366044880482743,2.6012441824066657,10.18936208551965,1.4160780901480914,1.3963571943024289
2014,0.42162211339179995,16.960671958333975,0.4277548711724443,2.179981478957264,4.0847027289081375,1.4334824554949688,1.655493324769548,0.46799294820124737,7.103954532950828,0.10048476369891023,0.2630245087162734,0.2467851963176412,3.103441708635578,0.5257705883839853,1.6197258393344494,0.506067518643919,0.10810689633183175,0.02901630685967156,0.1253479572232527,2.610477991783977,10.419957478556382,1.4341419752657656,1.4233947277533008
2015,0.42344828323585243,16.828744232075476,0.42806076957643163,2.1802302404929006,4.076241798613739,1.4371916747962132,1.6636302566032584,0.47404480256084547,7.074912039478741,0.10077886509803671,0.2684390809913515,0.24512263701439968,3.134267741185016,0.5310700410308429,1.6328964177330003,0.5101909823062113,0.11003474276106706,0.02959944467989039,0.12702260510646127,2.619510214972324,10.650193457918334,1.4558329050282015,1.4503484744510995
2016,0.42523335021163644,16.70042295952899,0.4283270602789562,2.180475654112807,4.064151359760412,1.4409130603388949,1.6717664673919956,0.4801712271284593,7.047641821055019,0.10106834295821633,0.2738213483738242,0.24746164673812,3.1657160909848496,0.5363273010884876,1.6448834353006418,0.5149577893853146,0.11132329861924373,0.030182581872121313,0.12868810699497366,2.6279781361897583,10.878435609284601,1.4775756076268407,1.4770706852170985
2017,0.4269764845338404,16.578325858300964,0.42855389388384146,2.180717721549792,4.055248587737324,1.4456267282131647,1.679901937917218,0.486330241183071,7.014906435835961,0.10135321904806625,0.2791700873890504,0.2498089348751572,3.1978616161114255,0.5415436298277865,1.6567458843337581,0.5194412591469642,0.11358916987046878,0.030765718903264683,0.13034244711505905,2.628600878363633,11.107714463265799,1.497842329991169,1.5041417236982686
2018,0.42868257168513824,16.457474808528737,0.43131784772413506,2.182195070482164,4.0453413526670445,1.4500373439087348,1.6880366711460588,0.4924593810216984,6.987135195273735,0.10163346119621476,0.2844799265371583,0.25160778272399076,3.229545710563435,0.5467057524945359,1.673288606548766,0.524070569121898,0.11587115945102558,0.031348855908253884,0.13198554323033435,2.632910027379116,11.33770774222331,1.517907449044831,1.5311450329925436
2019,0.430339140379888,16.34065633973318,0.43279613875943634,2.183669739712392,4.032274027637239,1.4544984279451114,1.6957159796631422,0.4985598225099211,6.959619149003196,0.10190909181045424,0.28970923435764584,0.2528136725767689,3.2632985191992114,0.5498397311987607,1.6899076888901452,0.5286235246228315,0.1181530062658154,0.031931992916074396,0.1336172684645791,2.643889448273012,11.567522931865513,1.5333749088040662,1.5581127571332631
