year,Crop,Live Exports,Meat,Milk,Wool
2010,36.0221502784734,0.018460245965015443,19.136215231075127,4.1857823860851475,1.4140383754480605
2011,32.19486075411488,0.0384601779409439,18.903182566265432,4.103486509664384,1.438219435298281
2012,32.51263088510867,0.03888712499126384,18.781839693499133,4.097424750541108,1.4517286140593533
2013,32.81364159785645,0.040072584511158256,18.663395937649778,4.091467401498221,1.4651862619095768
2014,33.102583473807464,0.04150954670851634,18.544208880314127,4.0847027289081375,1.4783952399469107
2015,33.41255793583546,0.042602605316944694,18.42856772364373,4.076241798613739,1.4918416442998157
2016,33.72430253016701,0.042560476550058284,18.31879441534652,4.064151359760412,1.5047841586172588
2017,34.02407318894533,0.04247002972877708,18.215767946196575,4.055248587737324,1.517949498487035
2018,34.340525990093646,0.042151337764053075,18.11389422555567,4.0453413526670445,1.5309749557724497
2019,34.654603655152016,0.04233886509117376,18.017061540281695,4.032274027637239,1.544554453559523
2020,34.973941361074736,0.042324637743843596,17.921739711109968,4.021173058115272,1.558209386867639
2021,35.27094479070038,0.04239304016136851,17.835467013861194,4.006902236051294,1.5720584412698069
2022,35.557272487814195,0.04209381758129502,17.753477770607788,3.9920320145624206,1.5864173291991666
2023,35.84198409766018,0.04140667961880424,17.672797601388,3.9740030139070623,1.6019351512721391
2024,36.04026813909516,0.04248578369904551,17.599035260728684,3.9573729802272957,1.6172051569472083
2025,36.42487129876822,0.04269626440648706,17.518437166450024,3.939626694986406,1.6311044631206324
2026,36.7024158981064,0.04262573496349697,17.443844691147273,3.922876903722097,1.6454013948803936
2027,36.97671124150351,0.044543028207780194,17.364978034812882,3.898838531187688,1.6612223823943868
2028,37.150524737912065,0.0459777128200144,17.284682509324846,3.8789957670368036,1.6768393319271016
2029,37.38193976085514,0.05074345197026245,17.192363462435775,3.858127631036808,1.6935150914841757
2030,37.60051855771613,0.05300198647169508,17.111795597943864,3.844070866877084,1.7092635062056696
2031,37.887917347224075,0.05316334353216274,17.04270446451761,3.8335860277652483,1.7199240980342108
2032,38.08094396655345,0.05160635669165144,16.95945451424149,3.7959804371756114,1.7332751472244472
2033,38.27562140976791,0.0496042674648049,16.886093473679107,3.7511633989062556,1.7466420012984074
2034,38.4730094412688,0.04841570916945484,16.798717921942618,3.714272529540039,1.7604262265972843
2035,38.39763869961253,0.05170300054059659,16.713777350612567,3.6737485726915633,1.7800830859750052
2036,38.54504984369818,0.05709774851674618,16.613418528914774,3.65039322683647,1.7944862652688318
2037,38.620432515366055,0.0614338971993839,16.51403008483112,3.6163999063379966,1.8089475089843299
2038,38.78714095901783,0.06439343694664912,16.41597310810645,3.6013963678673853,1.823920052214585
2039,38.91980502241215,0.0667984367909772,16.318975653725705,3.578274511299311,1.837511299629796
2040,38.95750087795137,0.07139927333689443,16.211038831074212,3.5749939564494113,1.8510013626137423
2041,39.12494859085748,0.07368178930608595,16.113868860847706,3.558145260870459,1.8655241255919108
2042,39.18640967304484,0.07701591810352078,16.005493872493027,3.558358876389569,1.8792198134420564
2043,39.28856023904005,0.07959843700737185,15.888040583063395,3.5456435070561403,1.8927454211855232
2044,39.21635040233768,0.08429780601958727,15.768612383856803,3.550110026916548,1.9068008271952508
2045,38.93414347326995,0.08775318788904446,15.660307673963864,3.5331202153169934,1.9209875232987992
2046,38.839073618797855,0.09344211727372503,15.53900772416645,3.5243230442397655,1.935255312047232
2047,38.36854941916397,0.0980802561269736,15.4253973965808,3.515176710616755,1.9501488931305861
2048,38.116373092692754,0.10375187929907516,15.289101655856221,3.522381667311874,1.965509818826011
2049,37.78337804456071,0.10798918030616024,15.170751911289338,3.5368011818648135,1.981042379240642
2050,37.62684562678775,0.11233492148505964,15.043890593650481,3.5558330559044755,1.9969138119181322
