Year,"Agricultural soils: Animal production, dung and urine",Agricultural soils: Direct Soil Emissions (biogenic),Agricultural soils: Indirect leaching and runoff,Chemical Application,Crop Management,Cultivation,Electricity Use livestock,Fertiliser production,Fodder production,Fuel Use livestock,Harvesting,Irrigation,Livestock Enteric Fermentation (biogenic),Livestock Manure Management (biogenic),Pasture Seed production,Pesticide production,Sowing
2010,4.433428700008393,2.7486158869332664,2.7155013232363463,1.8637020013961796,0.03258934836706519,0.877268312080845,0.42419813347530366,5.3500663423597805,1.4573687149884944,5.984283024066434,0.3760521283593476,0.27673083430004114,55.524863714462285,0.32997065642377593,4.675661380761691,2.4779868948783874,0.9636155072521269
2011,4.404331434841934,2.6074509997480972,2.670183204872322,1.8121455411700405,0.028053967817934563,0.8393624978067749,0.42737198361720663,5.127251878463868,1.4331744422762323,5.968361910525836,0.36025325734781655,0.21358702194281282,55.115737897996375,0.32614816149149084,4.696005056799137,2.3833118528426738,0.9516178418412204
2012,4.408600874150877,2.6277173785848675,2.6647889598764336,1.812478183349413,0.02784404333344119,0.8432394024064942,0.4297962629966179,5.131940798718278,1.4340297689394925,5.936381328771612,0.36003617159352486,0.211963777695271,55.21389832221524,0.32582652742960183,4.734634268082012,2.3842995819268067,0.9523668575885665
2013,4.41445053713677,2.655418323207447,2.6595440175433813,1.8138177083252183,0.02781942040115286,0.8460888692613288,0.4277794055230628,5.1418751043498965,1.43907757230166,5.903071344138143,0.35993165616388595,0.2125133817619313,55.3487560660363,0.32561844397833223,4.77418399713308,2.3848992665692292,0.9534349540132192
2014,4.419503298281985,2.6659009002260565,2.654321151737271,1.8151693690646815,0.027591998452838242,0.8446693950751969,0.42301228234034083,5.144362277992445,1.4438427046308586,5.8685216318996,0.35957810048884703,0.21095816671273143,55.480785406703625,0.32434903972718626,4.81225043805145,2.386236003516851,0.955296487276192
2015,4.42207096747476,2.68084567372641,2.64575261181039,1.8174906022568964,0.027465014585411132,0.84518421120755,0.4093207512326273,5.151906764651966,1.4450033283075707,5.829157159877486,0.359561057838119,0.21004990511576513,55.58252157522896,0.3221997530643699,4.850470539033779,2.3894355291332037,0.9574145329535703
2016,4.422809230807238,2.7101781217267833,2.6359322727691876,1.8195698426399016,0.027338327376345315,0.8495236387129653,0.3880490621966202,5.164026008702309,1.4444020788762435,5.782938579790236,0.359190387805639,0.21049487949358386,55.64128164891353,0.31917954812171057,4.890401261103344,2.3921375244667296,0.9593012811293036
2017,4.421879718335745,2.720110804512837,2.6280078167559426,1.821133467594501,0.02701323225477948,0.8513069254377157,0.3773247416289932,5.16747396252407,1.4441759263564917,5.730162823306377,0.3584656311494088,0.20881262108934626,55.62122924840308,0.3174127041875027,4.929860987829771,2.39215982929658,0.960861568027557
2018,4.421158570821448,2.730494286356883,2.6198360481338097,1.8217904717011562,0.026676507651666105,0.8496629235785798,0.3661676833578348,5.16833218412576,1.4436085084214547,5.686434652304581,0.35791697429615804,0.20722582407154203,55.63238532124788,0.31566171349045524,4.967083827804183,2.390469814621837,0.9618593139617793
2019,4.420970566404041,2.7422653346782955,2.6114096047439808,1.8242245864633477,0.026531663416060707,0.8498553145240535,0.356247701819483,5.179372282077461,1.4465201702370325,5.646989791993796,0.3580813448418618,0.20724526624733405,55.667134953867404,0.3161888481810967,5.004032611935538,2.392656926837049,0.9632802993666633
